ANO,UF,SEXO_FEMININO,SEXO_MASCULINO,SEXO_NAO_INFORMADO,FE_12_14_ANOS,FE_15_17_ANOS,FE_18_24_ANOS,FE_25_30_ANOS,FE_31_35_ANOS,FE_36_40_ANOS,FE_41_45_ANOS,FE_46_50_ANOS,FE_51_55_ANOS,FE_56_60_ANOS,FE_61_65_ANOS,FE_66_70_ANOS,FE_71_75_ANOS,FE_76_80_ANOS,FE_81_85_ANOS,FE_86_90_ANOS,FE_91_MAIS,FE_NAO_INFORMADO,CR_AMARELA,CR_BRANCA,CR_INDIGENA,CR_NAO_INFORMADO,CR_PARDA,CR_PRETA
2013,AL,82,357,67,5,18,87,81,42,43,26,31,11,13,5,7,0,1,0,0,0,136,3,95,0,222,157,29
2013,AM,108,661,106,4,22,126,159,66,97,65,40,17,18,5,4,3,5,0,0,0,244,2,121,4,401,299,48
2013,AP,7,77,12,0,3,17,10,8,2,6,8,2,3,7,1,0,0,0,0,0,29,0,17,0,44,28,7
2013,BA,435,2251,355,46,87,503,507,256,298,213,167,75,65,25,21,5,6,1,3,0,763,10,511,8,1327,833,352
2013,CE,205,951,138,25,58,240,171,117,105,69,56,34,38,19,11,4,4,2,1,0,340,5,234,1,595,385,74
2013,DF,112,580,93,12,23,101,118,64,83,44,40,13,14,14,6,2,2,1,0,0,248,3,140,0,400,191,51
2013,ES,100,374,64,9,14,102,84,43,53,24,29,16,16,12,1,1,1,0,0,0,133,3,94,2,238,141,60
2013,GO,144,1062,191,89,98,188,150,116,119,57,48,37,46,13,2,4,4,1,0,1,424,5,286,0,689,317,100
2013,MA,180,1060,141,7,50,223,217,152,148,66,61,24,33,14,13,4,1,0,0,0,368,4,243,2,646,374,112
2013,MG,556,1923,372,42,73,407,379,285,270,198,167,77,65,28,28,6,3,5,1,1,816,3,657,2,1305,654,230
2013,MS,84,380,71,11,10,85,84,38,58,30,24,10,13,3,4,0,2,0,2,0,161,0,112,5,242,144,32
2013,MT,59,466,73,9,11,70,141,42,47,27,30,15,13,5,1,2,0,0,1,0,184,2,145,2,281,143,25
2013,PA,157,933,133,5,23,178,189,121,146,62,79,33,38,17,12,2,3,0,0,0,315,3,179,7,563,393,78
2013,PB,136,666,123,4,20,115,226,71,103,44,39,20,22,11,7,2,2,0,0,0,239,3,235,1,397,229,60
2013,PE,259,1042,175,28,42,239,200,139,167,92,69,46,24,8,7,2,0,0,0,0,413,3,265,3,666,431,108
2013,PI,70,386,58,7,10,63,77,42,41,33,33,13,14,8,7,3,1,0,0,1,161,1,69,0,246,155,43
2013,PR,234,1131,193,19,52,212,229,124,169,94,102,49,37,17,18,4,1,0,0,0,431,9,386,5,719,350,89
2013,RJ,571,2362,404,45,82,409,550,343,374,148,172,96,79,59,26,24,13,1,0,0,916,6,680,2,1460,825,364
2013,RN,106,509,89,3,18,119,104,68,76,50,37,14,9,8,6,2,3,1,3,0,183,2,154,1,333,188,26
