ANO,MES,UF,QTDE_DENUNCIAS
2012,SET,PI,26
2012,OUT,PI,53
2012,NOV,PI,51
2012,DEZ,PI,29
2012,JAN,PR,79
2012,FEV,PR,115
2012,MAR,PR,75
2012,ABR,PR,61
2012,MAI,PR,92
2012,JUN,PR,140
2012,JUL,PR,138
2012,AGO,PR,141
2012,SET,PR,142
2012,OUT,PR,199
2012,NOV,PR,140
2012,DEZ,PR,105
2012,JAN,RJ,169
2012,FEV,RJ,198
2012,MAR,RJ,234
2012,ABR,RJ,151
2012,MAI,RJ,220
2012,JUN,RJ,313
2012,JUL,RJ,263
2012,AGO,RJ,305
2012,SET,RJ,302
2012,OUT,RJ,334
2012,NOV,RJ,236
2012,DEZ,RJ,187
2012,JAN,RN,47
2012,FEV,RN,47
2012,MAR,RN,49
2012,ABR,RN,55
2012,MAI,RN,89
2012,JUN,RN,77
2012,JUL,RN,90
2012,AGO,RN,105
2012,SET,RN,75
2012,OUT,RN,77
2012,NOV,RN,95
2012,DEZ,RN,49
2012,JAN,RO,10
2012,FEV,RO,23
2012,MAR,RO,25
2012,ABR,RO,16
2012,MAI,RO,30
2012,JUN,RO,43
2012,JUL,RO,39
2012,AGO,RO,41
2012,SET,RO,45
2012,OUT,RO,48
2012,NOV,RO,48
2012,DEZ,RO,32
2012,JAN,RR,2
2012,FEV,RR,2
2012,MAR,RR,2
2012,ABR,RR,4
2012,MAI,RR,8
2012,JUN,RR,7
2012,JUL,RR,2
2012,AGO,RR,3
2012,SET,RR,5
2012,OUT,RR,3
2012,NOV,RR,3
2012,DEZ,RR,3
2012,JAN,RS,78
2012,FEV,RS,95
2012,MAR,RS,92
2012,ABR,RS,64
2012,MAI,RS,135
2012,JUN,RS,148
2012,JUL,RS,140
2012,AGO,RS,163
2012,SET,RS,116
2012,OUT,RS,209
2012,NOV,RS,155
2012,DEZ,RS,106
2012,JAN,SC,41
2012,FEV,SC,60
2012,MAR,SC,64
2012,ABR,SC,45
2012,MAI,SC,49
2012,JUN,SC,77
2012,JUL,SC,66
2012,AGO,SC,72
2012,SET,SC,82
2012,OUT,SC,99
2012,NOV,SC,89
2012,DEZ,SC,78
2012,JAN,SE,15
2012,FEV,SE,17
2012,MAR,SE,16
2012,ABR,SE,15
2012,MAI,SE,28
2012,JUN,SE,32
2012,JUL,SE,22
2012,AGO,SE,43
2012,SET,SE,30
2012,OUT,SE,35
2012,NOV,SE,43
2012,DEZ,SE,19
2012,JAN,SP,176
2012,FEV,SP,223
2012,MAR,SP,278
2012,ABR,SP,175
2012,MAI,SP,227
2012,JUN,SP,258
2012,JUL,SP,271
2012,AGO,SP,320
2012,SET,SP,249
2012,OUT,SP,399
2012,NOV,SP,282
2012,DEZ,SP,248
2012,JAN,TO,6
2012,FEV,TO,10
2012,MAR,TO,10
2012,ABR,TO,11
2012,MAI,TO,15
2012,JUN,TO,12
2012,JUL,TO,5
2012,AGO,TO,14
2012,SET,TO,17
2012,OUT,TO,30
2012,NOV,TO,16
2012,DEZ,TO,10
2012,JAN,NA,0
2012,FEV,NA,0
2012,MAR,NA,0
2012,ABR,NA,1
2012,MAI,NA,4
2012,JUN,NA,0
2012,JUL,NA,3
2012,AGO,NA,2
2012,SET,NA,5
2012,OUT,NA,13
2012,NOV,NA,7
2012,DEZ,NA,6
2012,JAN,EX,0
2012,FEV,EX,0
2012,MAR,EX,0
2012,ABR,EX,0
2012,MAI,EX,0
2012,JUN,EX,0
2012,JUL,EX,0
2012,AGO,EX,0
2012,SET,EX,0
2012,OUT,EX,0
2012,NOV,EX,0
2012,DEZ,EX,0
2013,JAN,AC,14
2013,FEV,AC,16
2013,MAR,AC,20
2013,ABR,AC,18
2013,MAI,AC,27
2013,JUN,AC,23
2013,JUL,AC,19
2013,AGO,AC,18
2013,SET,AC,8
2013,OUT,AC,11
2013,NOV,AC,7
2013,DEZ,AC,7
2013,JAN,AL,37
2013,FEV,AL,45
2013,MAR,AL,51
2013,ABR,AL,38
2013,MAI,AL,40
2013,JUN,AL,29
2013,JUL,AL,28
2013,AGO,AL,34
2013,SET,AL,22
2013,OUT,AL,37
2013,NOV,AL,46
2013,DEZ,AL,30
2013,JAN,AM,65
2013,FEV,AM,68
2013,MAR,AM,65
2013,ABR,AM,83
2013,MAI,AM,72
2013,JUN,AM,60
2013,JUL,AM,56
2013,AGO,AM,60
2013,SET,AM,42
2013,OUT,AM,51
2013,NOV,AM,54
